algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
A*,6,686,33,33,0.005000114440917969,True
A*,7,137,15,15,0.0011026859283447266,True
A*,8,3164,88,88,0.023534297943115234,True
A*,9,2510,82,82,0.01843714714050293,True
A*,10,1967,55,55,0.015011310577392578,True
A*,11,3168,70,70,0.02377939224243164,True
A*,12,1884,57,57,0.013730049133300781,True
A*,13,4999,112,112,0.03759050369262695,True
A*,14,654,32,32,0.004964113235473633,True
A*,15,228,21,21,0.001739501953125,True
A*,16,89,13,13,0.0007088184356689453,True
A*,17,564,29,29,0.004568576812744141,True
A*,18,3851,87,87,0.028832197189331055,True
A*,19,1584,56,56,0.011743307113647461,True
A*,20,34,10,10,0.00030112266540527344,True
A*,21,1056,40,40,0.007904529571533203,True
A*,22,2204,68,68,0.016391754150390625,True
A*,23,824,43,43,0.006090402603149414,True
A*,24,2910,77,77,0.022089242935180664,True
A*,25,367,24,24,0.0026984214782714844,True
A*,26,195,18,18,0.0014595985412597656,True
A*,27,285,22,22,0.0020890235900878906,True
A*,28,921,39,39,0.007587909698486328,True
A*,29,5469,102,102,0.07138228416442871,True
A*,30,958,41,41,0.0072329044342041016,True
